B07001001,US1YO+
B08124007,PTMMJOBS
B00001001,ALLPOP
B01001002,TOTALMALE
B25106033,RENT35-50
B25106014,OCC30%+
B25122024,RENT$3-400
B99191006,%$I25-50
B04001007,ARABEGYPT
B07008031,MOVFROMFAR
B11002E007,PacFamM!WR
B13002011,F15-50NoB
B19037B062,AAA65+4550
B08137004,W16+HCTVA
B20005G071,2+RFW$75-1
C23002E026,PacF65+!J
B24121368,CAVIAR
B25006009,HWITRISOR

C25095019,O50-75<30
C25095020,O50-75>30
C25095021,O50-75NoC
C25095022,O75-99All
C25095023,O75-99<30
C25095024,O75-99>30
C25095025,O75-99NoC
C25095026,O100+ALL
C25095027,O100+<30
C25095028,O100+>30
C25095029,O100+NoC

