B08541021,walkedcar
B08541022,walked_0car
B08541023,walked_1car
B08541024,walked_2car
B08541025,walked_3car
B08602001,when_tot
B08602002,when_02
B08602003,when_03
B08602004,when_04
B08602005,when_05
B08602006,when_06
B08602007,when_07
B08602008,when_08
B08602009,when_09
B08602010,when_10
B08602011,when_11
B08602012,when_12
B08602013,when_13
B08602014,when_14
B08602015,when_15
B08534101,walked_tot
B08534102,walked_10
B08534103,walked_15
B08534104,walked_20
B08534105,walked_25
B08534106,walked_30
B08534107,walked_35
B08534108,walked_45
B08534109,walked_60
B08534110,walked_61

